  c : -  dim stab |c|: subspaces (from output.txt) in class c.  Class c = 58 here is Class 0 in Figure 6.1. (Class c = 58+n here is class n in Fig. 6.1.)
  0 :      0 240   1 : 0 
  1 : ais  1   8  15 : 1 49 55 82 83 104 111 112 142 180 238 263 280 281 293 
  2 : ais  1   4  30 : 2 8 11 15 17 38 41 65 69 75 88 92 98 122 128 144 145 149 177 189 200 202 231 236 270 273 296 301 302 304 
  3 : ais  1   4  30 : 3 12 13 18 20 22 25 34 40 64 66 91 105 116 118 121 155 158 176 179 217 219 232 247 267 274 277 289 314 322 
  4 : ais  1   8  15 : 4 5 6 10 14 23 45 68 79 125 140 182 245 276 298 
  5 : ais  1   4  30 : 7 27 31 33 42 56 71 72 78 86 123 127 133 134 138 159 171 185 188 193 212 240 242 246 278 284 295 311 312 321 
  6 : ais  1   2  60 : 9 24 36 37 46 47 52 59 60 61 77 80 81 89 90 93 100 101 102 106 108 109 110 115 117 124 135 136 139 141 152 160 170 183 184 187 195 201 210 211 233 235 239 244 264 265 266 269 271 275 279 283 287 288 291 299 305 306 316 323 
  7 : ais  1  12  10 : 16 35 67 87 114 132 174 234 290 303 
  8 : ais  1   4  30 : 19 29 30 32 63 70 74 85 126 131 137 147 157 162 175 178 190 194 197 218 222 227 241 243 285 308 310 313 319 320 
  9 : ais  1   4  30 : 21 26 39 43 53 57 95 99 119 120 154 156 165 172 191 206 213 216 220 229 249 253 257 261 272 286 315 324 330 332 
 10 : ais  1   8  15 : 28 73 150 161 164 186 198 215 223 225 230 251 309 318 335 
 11 : ais  1   4  30 : 44 50 58 62 76 84 96 97 129 130 146 148 167 173 192 196 199 205 214 228 248 254 256 268 292 297 300 307 329 333 
 12 : ais  1   8  15 : 48 54 94 103 143 153 181 203 208 237 258 262 294 317 328 
 13 : ais  1  12  10 : 51 107 113 151 169 259 260 282 326 327 
 14 : ais  1  12  10 : 163 166 204 221 224 226 250 252 334 336 
 15 : ais  1  20   6 : 168 207 209 255 325 331 
 16 :      2  20   6 : 337 350 385 444 489 495 
 17 :      2  20   6 : 338 351 370 443 484 485 
 18 : ais  2   8  15 : 339 341 344 345 347 356 358 372 412 452 454 479 480 491 494 
 19 : ais  2   8  15 : 340 343 349 359 362 366 373 411 447 448 457 460 463 483 490 
 20 : ais  2   4  30 : 342 346 348 352 353 354 355 357 361 363 364 365 371 413 433 445 446 449 450 451 453 455 456 459 461 462 481 482 492 493 
 21 :      2  24   5 : 360 414 458 523 524 
 22 : ais  2   4  30 : 367 375 380 391 400 403 406 410 420 423 424 427 434 435 439 442 466 468 472 473 474 488 505 506 507 510 517 518 520 521 
 23 : ais  2   4  15 : 368 377 379 386 390 393 407 425 431 437 464 502 516 522 532 
 24 : ais  2   4  30 : 369 376 381 383 384 387 388 392 399 401 402 405 415 419 422 426 465 469 471 475 478 487 497 498 499 500 526 527 528 529 
 25 : ais  2   4  15 : 374 408 409 416 417 438 467 470 476 477 486 496 508 509 525 
 26 : ais  2   2  30 : 378 382 389 394 395 396 397 398 404 418 421 428 429 430 432 436 440 441 501 503 504 511 512 513 514 515 519 530 531 533 
 27 : ais  3   4  15 : 534 540 545 546 549 551 552 557 560 570 571 576 580 584 586 
 28 : ais  3   8  15 : 535 536 537 541 543 556 558 562 563 567 569 574 575 579 587 
 29 : ais  3   2  10 : 538 539 542 544 554 555 559 561 568 577 
 30 : ais  3   4  15 : 547 548 550 553 564 565 566 572 573 578 581 582 583 585 588 
 31 :      4  10   6 : 589 591 609 610 627 641 
 32 :      4  12  10 : 590 596 601 604 611 617 626 629 638 639 
 33 :      4  12  10 : 592 597 602 605 613 615 628 634 640 645 
 34 : ais  4   8  15 : 593 594 595 603 606 607 616 618 619 635 636 643 644 647 649 
 35 : ais  4   4  15 : 598 599 600 608 612 614 620 623 625 630 631 637 642 648 650 
 36 :      4  20   6 : 621 622 624 632 633 646 
 37 : ais  5   4  15 : 651 652 653 654 655 656 657 658 659 660 661 662 663 664 665 
 38 :      6   8   5 : 666 667 668 683 688 
