  c : -  dim stab |c|: subspaces (from output.txt) in class c.  
  0 :      0 240   1 : 0 
  1 :      1   8  15 : 1 3 4 7 8 12 15 17 18 27 30 34 35 41 42 
  2 :      1  12  10 : 2 5 10 11 23 24 25 26 31 33 
  3 : ais  1   8  15 : 6 9 13 14 16 19 21 28 29 32 36 38 40 43 45 
  4 :      1  20   6 : 20 22 37 39 44 46 
  5 :      2   4  30 : 47 48 49 50 52 53 55 56 60 61 62 63 66 67 68 70 72 73 75 77 78 79 88 89 94 96 97 98 100 101 
  6 :      2   8  15 : 51 54 57 58 59 64 69 71 74 76 80 87 95 99 102 
  7 : ais  2   4  15 : 65 81 82 83 84 85 86 90 91 92 93 103 104 105 106 
  8 :      3   2  10 : 107 108 109 110 112 113 121 122 128 129 
  9 :      3   4  15 : 111 114 115 116 117 118 119 120 123 124 125 126 127 130 131 
 10 :      4   2  15 : 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 
 11 :      1 120   1 : 147 
 12 :      2  10   6 : 148 149 151 152 156 158 
 13 :      2  24   5 : 150 153 154 155 157 
 14 :      3  12  10 : 159 160 161 163 166 171 175 177 178 183 
 15 :      3   8  15 : 162 164 165 167 168 169 170 172 173 174 176 179 180 181 182 
 16 :      4   4   5 : 184 187 189 193 196 
 17 :      4   6  10 : 185 186 188 190 191 192 194 195 197 198 
 18 :      5   4  15 : 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 
 19 :      6   2  15 : 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 
 20 :      7   2  10 : 229 230 231 232 233 234 235 236 237 238 
 21 :     10   1   1 : 239 
